HSHD_NUM,PURCHASE_,SPEND,DEPARTMENT,MONTH,YEAR
4711,2018-01-31,4.98,NON-FOOD,1,2018
4711,2018-01-17,3.39,FOOD,1,2018
4711,2018-01-03,1.99,FOOD,1,2018
4711,2018-01-15,2.49,FOOD,1,2018
4711,2018-01-03,1.97,FOOD,1,2018
4711,2018-01-03,2.69,FOOD,1,2018
4711,2018-01-31,6.89,NON-FOOD,1,2018
4711,2018-01-10,2.99,FOOD,1,2018
4711,2018-01-15,1.99,FOOD,1,2018
4711,2018-01-10,1.99,FOOD,1,2018
4711,2018-01-17,2.49,NON-FOOD,1,2018
4711,2018-01-31,1.77,FOOD,1,2018
4711,2018-01-17,13,FOOD,1,2018
4711,2018-01-10,10.66,FOOD,1,2018
4711,2018-01-10,2.49,NON-FOOD,1,2018
4711,2018-01-31,1.47,FOOD,1,2018
4711,2018-01-15,3.15,FOOD,1,2018
4711,2018-01-15,3.79,FOOD,1,2018
4711,2018-01-17,5.99,FOOD,1,2018
4711,2018-01-03,1,FOOD,1,2018
4711,2018-01-31,5.99,NON-FOOD,1,2018
4711,2018-01-10,1.99,FOOD,1,2018
4711,2018-01-10,1,FOOD,1,2018
4711,2018-01-17,1.99,FOOD,1,2018
4711,2018-01-17,4.99,FOOD,1,2018
4711,2018-01-10,2.99,FOOD,1,2018
4711,2018-01-15,4.99,FOOD,1,2018
4711,2018-01-10,1,FOOD,1,2018
4711,2018-01-10,2.79,FOOD,1,2018
4711,2018-01-03,1.32,FOOD,1,2018
4711,2018-01-17,2.99,FOOD,1,2018
4711,2018-01-15,2.79,FOOD,1,2018
4711,2018-01-31,4.76,FOOD,1,2018
4711,2018-01-31,2.49,FOOD,1,2018
4711,2018-01-03,36,NON-FOOD,1,2018
4711,2018-01-31,1.49,FOOD,1,2018
4711,2018-01-03,10.33,FOOD,1,2018
4711,2018-01-17,1.78,FOOD,1,2018
4711,2018-01-03,1.99,FOOD,1,2018
4711,2018-01-15,2.89,FOOD,1,2018
4711,2018-01-31,1.99,FOOD,1,2018
4711,2018-01-10,1.99,FOOD,1,2018
4711,2018-01-03,3.27,FOOD,1,2018
4711,2018-01-03,2.49,FOOD,1,2018
4711,2018-01-10,5.99,NON-FOOD,1,2018
4711,2018-01-03,16.46,FOOD,1,2018
4711,2018-01-03,3.99,FOOD,1,2018
4711,2018-01-15,2.89,FOOD,1,2018
4711,2018-01-03,1,FOOD,1,2018
4711,2018-01-31,1.99,FOOD,1,2018
4711,2018-01-03,3.99,FOOD,1,2018
4711,2018-01-03,3.59,FOOD,1,2018
4711,2018-01-03,1.5,FOOD,1,2018
4711,2018-01-10,2.99,FOOD,1,2018
4711,2018-01-03,3.19,FOOD,1,2018
4711,2018-01-31,5.99,NON-FOOD,1,2018
4711,2018-01-17,5.99,FOOD,1,2018
4711,2018-01-31,1.99,FOOD,1,2018
4711,2018-01-10,1.79,FOOD,1,2018
4711,2018-01-31,1,FOOD,1,2018
4711,2018-01-03,4.75,FOOD,1,2018
4711,2018-01-03,.99,FOOD,1,2018
4711,2018-01-17,8.55,FOOD,1,2018
